service,price,category,note
Oberlippe,35€,alexandrit,
Kinn,35€,alexandrit,
Bauchstreifen,35€,alexandrit,
Finger,35€,alexandrit,
Wangen,35€,alexandrit,
Nacken komplett,60€,alexandrit,
Achselhöhlen,60€,alexandrit,
Unterer Rücken,70€,alexandrit,
Bikini Komplett,120€,alexandrit,
Bikini Komplett (Mann),150€,alexandrit,
Unterarme/Oberarme,90€,alexandrit,
Pobacken,90€,alexandrit,
Brust,90€,alexandrit,
Bauch,90€,alexandrit,
Rücken unter,70€,alexandrit,
Gesicht komplett,90€,alexandrit,
Arme komplett,150€,alexandrit,
Unterschenkel/Oberschenkel (+Knie),150€,alexandrit,
Rücken,150€,alexandrit,
Beine komplett,200€,alexandrit,
Bikini komplett + Achseln + Unterschenkel/Oberschenkel,280€,alexandrit,
Bikini komplett + Achseln + Beine komplett,320€,alexandrit,
Bikini komplett + Achseln + Beine komplett + Arme komplett,400€,alexandrit,
Ganzen Körper,600€,alexandrit,
Oberlippe,30€,dioden,
Kinn,30€,dioden,
Bauchstreifen,30€,dioden,
Finger,30€,dioden,
Wangen,30€,dioden,
Nacken komplett,50€,dioden,
Achselhöhlen,60€,dioden,
Unterer Rücken,50€,dioden,
Bikini komplett,90€,dioden,
Bikini Komplett,110€,dioden,
Unterarme/Oberarme,70€,dioden,
Pobacken,70€,dioden,
Brust,70€,dioden,
Bauch,70€,dioden,
Unterer Rücken,50€,dioden,
Gesicht komplett,70€,dioden,
Arme komplett,90€,dioden,
Unterschenkel/Oberschenkel (+Knie),100€,dioden,
Rücken,100€,dioden,
Beine komplett,120€,dioden,
Bikini komplett + Achseln + Unterschenkel/Oberschenkel,190€,dioden,
Bikini komplett + Achseln + Beine komplett,210€,dioden,
Bikini komplett + Achseln + Beine komplett + Arme komplett,240€,dioden,
Ganzen Körper,400€,dioden,
Body Contouring (20min + 10min Fokus),80€,icoone,
5 Behandlungen,380€,icoone,5% Rabatt
10 Behandlungen,720€,icoone,10% Rabatt
15 Behandlungen,1020€,icoone,15% Rabatt
Fokus Zone +10€,10€,icoone,extra
Maniküre mit Gel (Meister Katerina),60€,manicure,
Maniküre ohne Gel (Meister Katerina),40€,manicure,
Nagelverlängerungen (Meister Katerina),70€,manicure,
Pediküre mit Gel (Meister Katerina),70€,pedicure,
Pediküre ohne Gel (Meister Katerina),50€,pedicure,